Location,Burrito,Number of Burritos,Date,Neighborhood,Address,JSON,lon,lat,Coverage,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa2,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,Place,By
Albertacos,California ,2,2016-06-08,San Marcos,500 W San Marcos Blvd,"[{""place_id"":""51401160"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""4063505923"",""boundingbox"":[""33.1393291"",""33.1394291"",""-117.1721318"",""-117.1720318""],""lat"":""33.1393791"",""lon"":""-117.1720818"",""display_name"":""ACE Cash Express, 500, West San Marcos Boulevard, San Elijo Hills, San Marcos, San Diego County, California, 92069, United States of America"",""class"":""shop"",""type"":""yes"",""importance"":0.721,""address"":{""shop"":""ACE Cash Express"",""house_number"":""500"",""road"":""West San Marcos Boulevard"",""suburb"":""San Elijo Hills"",""city"":""San Marcos"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92069"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1720818,33.1393791,POINT(-13043536.4812 3913818.85445),<a href='https://www.yelp.com/biz/albertacos-san-marcos'>https://www.yelp.com/biz/albertacos-san-marcos</a>,3.5,3.9,,5.7,3.5,,,20.5,21.5,0.75,3.5,3,3,4,1.5,4,4,4,4,3.7,Yes,Scott,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrito Factory,Steak everything ,1,2017-07-13,Austin,2025 Guadalupe St,"[{""place_id"":""16413386"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""1488916371"",""boundingbox"":[""30.2833206"",""30.2834206"",""-97.7414368"",""-97.7413368""],""lat"":""30.2833706"",""lon"":""-97.7413868"",""display_name"":""Dobie Tower Food Court, 2025, Guadalupe Street, The Drag, Austin, Travis County, Texas, 78701, United States of America"",""class"":""amenity"",""type"":""food_court"",""importance"":0.421,""address"":{""address29"":""Dobie Tower Food Court"",""house_number"":""2025"",""road"":""Guadalupe Street"",""neighbourhood"":""The Drag"",""city"":""Austin"",""county"":""Travis County"",""state"":""Texas"",""postcode"":""78701"",""country"":""United States of America"",""country_code"":""us""}}]",-97.7413868,30.2833706,POINT(-10880521.408 3540026.74423),<a href='https://www.yelp.com/biz/burrito-factory-austin'>https://www.yelp.com/biz/burrito-factory-austin</a>,4.5,4.8,,7.35,3.5,,,17,23,0.72,3.2,3,3.5,3.5,3,3.3,3,3.8,2,3.5,,Scott,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burros and Fries,California,3,2016-08-12,Clairemont,4705 Clairemont Dr,"[{""place_id"":""5722412"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596821227"",""boundingbox"":[""32.829648"",""32.829748"",""-117.204843"",""-117.204743""],""lat"":""32.829698"",""lon"":""-117.204793"",""display_name"":""4705, Clairemont Drive, Clairemont, San Diego, San Diego County, California, 92037, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.541,""address"":{""house_number"":""4705"",""road"":""Clairemont Drive"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.204793,32.829698,POINT(-13047177.8753 3872720.97647),<a href='http://www.burrosandfries.com/'>http://www.burrosandfries.com/</a>,3.5,4.1,,6.89,4,,,21.5,22.5,0.87,3.5,4.5,3.5,3.5,3,1.5,2.5,3.5,5,3.5,Yes,Scott,good fries,,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caliente Mexican Food,carne asada ,3,2017-07-06,Sorrento Valley,11815 Sorrento Valley Rd,[],,,,<a href='https://www.yelp.com/biz/caliente-mexican-food-san-diego'>https://www.yelp.com/biz/caliente-mexican-food-san-diego</a>,3.5,4.4,,5.56,2.5,420,0.617647059,21.5,20,0.68,2.5,3,2.5,3.5,4.5,4.5,3.7,3.3,4.5,3.5,,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burrito Company,Dave's California,3,2016-10-12,Miramar,6912 Miramar Rd,"[{""place_id"":""166773183"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436428517"",""boundingbox"":[""32.893698"",""32.8937565"",""-117.1234455"",""-117.1188758""],""lat"":""32.8937565"",""lon"":""-117.1199398"",""display_name"":""Miramar Road, Mira Mesa, San Diego, San Diego County, California, SCRIPPS RANCH BLVD., United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.335,""address"":{""road"":""Miramar Road"",""suburb"":""Mira Mesa"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""SCRIPPS RANCH BLVD."",""country"":""United States of America"",""country_code"":""us""}}]",-117.1199398,32.8937565,POINT(-13037732.0603 3881210.39167),<a href='https://www.yelp.com/biz/california-burrito-company-san-diego-2'>https://www.yelp.com/biz/california-burrito-company-san-diego-2</a>,3.5,4.4,,6.5,4,,,19.5,21,0.68,3,2.5,2.5,3,4,3.5,2.5,3,5,3.3,No,Scott,The burrito looked beautiful when it came out. Chicken didn't add anything. would probably get the regular,,,x,,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,6,2016-04-15,Linda Vista,7754 Starling Dr,[],,,,<a href='https://www.yelp.com/biz/california-burritos-san-diego'>https://www.yelp.com/biz/california-burritos-san-diego</a>,4.5,4.4,x,6.25,4,,,,,,4.5,4.5,2.5,3.5,3.5,3.5,3,4,5,4.1,Yes,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun Mexican & Seafood,California,2,2016-03-20,Encinitas,1766 N Coast Hwy,[],,,,<a href='http://cancunmexicanandseafood.com/'>http://cancunmexicanandseafood.com/</a>,4.5,4.1,x,6.99,4,,,,,,4,4.5,4,3.5,4,2.5,2,4,4,4.2,,Scott,A bit small,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmen's Mexican Food,Adobada,2,2016-08-19,Clairemont,4937 Diane Ave,"[{""place_id"":""158440088"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""390553177"",""boundingbox"":[""32.8344012"",""32.8345433"",""-117.1870819"",""-117.18708""],""lat"":""32.8345433"",""lon"":""-117.18708"",""display_name"":""Diane Avenue, Clairemont, San Diego, San Diego County, California, 92117, United States of America"",""class"":""highway"",""type"":""tertiary"",""importance"":0.445,""address"":{""road"":""Diane Avenue"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92117"",""country"":""United States of America"",""country_code"":""us""}}]",-117.18708,32.8345433,POINT(-13045206.0732 3873362.89034),<a href='https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego'>https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego</a>,4,4.2,,6.5,3.5,,,20.5,20.5,0.69,2.5,4,3.5,4,4,3,1.5,3.5,5,3.6,Yes,Scott,really good guac,,,,,x,,,,x,,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,
Chipotle,Carnitas,2,2016-09-13,Carlsbad,2505 Palomar airport Rd,"[{""place_id"":""52407885"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""4069228017"",""boundingbox"":[""33.1279918"",""33.1280918"",""-117.270445"",""-117.270345""],""lat"":""33.1280418"",""lon"":""-117.270395"",""display_name"":""Chipotle, 2505, Palomar Airport Road, Carlsbad, San Diego County, California, 92011, United States of America"",""class"":""amenity"",""type"":""fast_food"",""importance"":0.531,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_fastfood.p.20.png"",""address"":{""fast_food"":""Chipotle"",""house_number"":""2505"",""road"":""Palomar Airport Road"",""city"":""Carlsbad"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92011"",""country"":""United States of America"",""country_code"":""us""}}]",-117.270395,33.1280418,POINT(-13054480.6565 3912311.72932),<a href='https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad'>https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad</a>,3,4.2,,7.15,4,,,16.5,26.5,0.92,2.5,2.5,3,2.8,2.5,3.5,,3,3.5,2.75,Yes,Emily,,,,,X,,,,X,X,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,X,,,
Colima's Mexican Food,Hawaiian,3,2016-03-03,North park,2302 University Ave,"[{""place_id"":""5478695"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596075659"",""boundingbox"":[""32.748637"",""32.748737"",""-117.139627"",""-117.139527""],""lat"":""32.748687"",""lon"":""-117.139577"",""display_name"":""2302, University Avenue, North Park, San Diego, San Diego County, California, 92104, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.621,""address"":{""house_number"":""2302"",""road"":""University Avenue"",""neighbourhood"":""North Park"",""suburb"":""North Park"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92104"",""country"":""United States of America"",""country_code"":""us""}}]",-117.139577,32.748687,POINT(-13039918.0634 3861993.67819),<a href='https://www.yelp.com/biz/colimas-mexican-food-san-diego'>https://www.yelp.com/biz/colimas-mexican-food-san-diego</a>,4,4.2,,6.29,3.5,,,,,,3.5,5,4,4,3.5,4.5,3.5,3.5,4,4,,Scott,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,
