Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer
Donato's taco shop,California ,1/18/16,Miramar,6780 Miramar Rd,http://donatostacoshop.net/,3.5,4.2,,6.49,3,3,5,3,3.5,4,4,4,4,4,3.8,,Scott
Oscar's Mexican food,California ,1/24/16,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,,5.45,3.5,2,3.5,2.5,2.5,2,4,3.5,2.5,5,3,,Scott
Oscar's Mexican food,Carnitas,1/24/16,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,,,,4.85,1.5,3,2,2.5,3,4.5,4,3,3,5,3,,Emily
Oscar's Mexican food,Carne asada,1/24/16,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,,,,5.25,2,3,2,3.5,3,4,5,4,4,5,3.75,,Ricardo
Pollos Maria,California,1/27/16,Carlsbad,3055 Harding St,http://pollosmaria.com/,4,3.8,x,6.59,4,4,5,4,3.5,4.5,5,2.5,4.5,4,4.2,,Scott
Pollos Maria,combo chicken,1/28/16,Carlsbad,3055 Harding St,http://pollosmaria.com/,,,,6.99,4,3,4,5,3.5,2.5,2.5,2.5,4,1,3.2,,Emily
Nico's Taco Shop,California,1/30/16,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,3,2.9,,7.19,1.5,2,3,3,2,2.5,2.5,,2,3,2.6,,Scott
Nico's Taco Shop,Carnitas,1/30/16,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,,,,6.99,4,2.5,3,3,2.5,3,3.5,,2.5,3,3,,Emily
Los Primos Mexican Food,Monster California,2/1/16,UTC,7770 Regents Rd,http://www.primosmex.com/,3,3.7,x,9.25,3.5,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,,Scott
JV's Mexican Food,Carne Asada,2/6/16,Morena,1112 Morena Blvd,http://jvsmexfood.com/,4,4.1,,6.25,3.5,2.5,1.5,1.5,3,4.5,3,1.5,2,4.5,2,,Scott
JV's Mexican Food,Surf & Turf,2/6/16,Morena,1112 Morena Blvd,http://jvsmexfood.com/,,,,9.5,2,2.5,2.5,2.75,2.5,2.5,2,0.5,3,3.5,2.5,,Emily
Tony's Fresh Mexican Food,Chile verde pork,2/11/16,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3,4.1,x,6.95,2,3,4,4,3,4,4,1,2,1,3,,Marc
Tony's Fresh Mexican Food,California,2/11/16,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,,,,6.25,3.5,3,3.5,3.5,4,2,3.5,1,4,4,3.9,,Scott
Tony's Fresh Mexican Food,battered fish ,2/11/16,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,,,,6.99,3,3,1,1.5,2.5,4,4,3,4.5,5,2,,Nicole
Tony's Fresh Mexican Food,California,2/11/16,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,,,,6.25,3,4,,2,2,4,4,,3,4,2.75,,Cris
Taco Stand,California,2/12/16,La Jolla,621 Pearl St,http://letstaco.com/,4.5,4.4,,7.49,4,3,2.5,4,4,3.5,2.5,3.5,5,4.5,4.2,,Emily
Taco Stand,Surf and turf ,2/12/16,La Jolla,621 Pearl St,http://letstaco.com/,,,,8.49,2.5,4,4,4.5,4,5,4.5,3.5,4,2,4.1,,Scott
Graciela's Taco Shop,Adobada ,2/14/16,Bonita,5047 Central Ave,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,4,4.5,,5.99,3,4,4,3,3.5,4,4.5,4,4,4.5,4,,Scott
Graciela's Taco Shop,Barbacoa,2/14/16,Bonita,5047 Central Ave,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,,,,5.99,2,3.5,4,3.5,,4,,4,4,1.5,4,,Emily
Rigoberto's Taco Shop La Jolla,California,2/17/16,La Jolla,7345 La Jolla Blvd,https://www.yelp.com/biz/rigobertos-la-jolla-2,2.5,4,,6.4,4,3,4,2.75,3,4,2,2,,5,3,,Leo
Rigoberto's Taco Shop La Jolla,California,2/17/16,La Jolla,7345 La Jolla Blvd,https://www.yelp.com/biz/rigobertos-la-jolla-2,,,,6.4,2.5,3.5,3,3,3,4,4,1.5,,4.5,3.5,,Scott
Lolita's taco shop,2 in 1,2/24/16,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,4,4.4,,8.75,3.5,1.5,2,3,3.5,4,1,3.5,4.5,4,4,,Scott
Lolita's taco shop,Adobado,2/24/16,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,,,,5.5,2.5,1.5,2.5,3.5,3,4,1.5,2.5,3.5,4.5,3.5,,Emily
Taco Stand,California,2/28/16,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,,,,7.49,2.5,4,3,4,4,4,4,4,4,3,4.6,,Scott
Taco Stand,California,2/28/16,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,,,,7.49,2.5,3,2,4.5,4,4,3.5,3,4.5,4.5,4.5,,Emily
Lola's 7 Up Market & Deli,Shredded beef,2/29/16,Carlsbad,3292 Roosevelt St,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,4.5,4.9,,6,3.5,2.5,2.5,3,4,4,4,3,3.5,1.5,3.8,,Emily
Lola's 7 Up Market & Deli,Carne asada,2/29/16,Carlsbad,3292 Roosevelt St,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,,,,7,3.5,2.5,3,3,4,2,2,3,3.5,3.5,3,,Scott
Colima's Mexican Food,Hawaiian,3/3/16,North park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,,6.29,3.5,3.5,5,4,4,3.5,4.5,3.5,3.5,4,4,,Scott
Colima's Mexican Food,Bandido,3/3/16,North park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,,,,6.49,4.5,3,5,4,4,5,4,2.5,4.5,4,4,,Sage
Colima's Mexican Food,Bandido,3/3/16,North park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,,,,6.49,4.5,3,4.5,3.5,3.5,3.5,3,3,3,4,3,,Eli
Rigoberto's Taco Shop,Carne asada,3/8/16,Miramar,7094 Miramar Rd,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,,6.6,3.5,4,2,4,3.5,4.5,4,3.5,4,1,4.25,,Ricardo
Rigoberto's Taco Shop,Campeon,3/8/16,Miramar,7094 Miramar Rd,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,,,,7.65,3.5,3,1.5,3,3,2.5,3,3.5,2.5,4,3.4,,Scott
Raul's Mexican food,Chile verde pork,3/11/16,Encinitas,490 S Coast Hwy 101,https://www.yelp.com/biz/rauls-shack-encinitas,4,4.2,,5,3.5,2,,2.5,2,2,2,2,2.5,,2,,Emily
Raul's Mexican food,carne asada,3/11/16,Encinitas,490 S Coast Hwy 101,https://www.yelp.com/biz/rauls-shack-encinitas,,,,5,1,2,,1,1,0.5,1,1.5,1,4,1,,Scott
El Zarape,California,3/14/16,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,x,6.25,0.5,3,5,4,2.75,4,1.6,3.5,3.4,5,3.33333,,Kelsey
El Zarape,California chicken,3/14/16,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,,,,6.25,3,3.5,5,2.5,2.5,4,2.7,3.5,3,5,2.5,,Sage
El Zarape,Azteca,3/14/16,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,,,,6.25,3.75,3,5,5,4.5,4,4,1.5,3,5,3,,Jake
El Zarape,Lobster,3/14/16,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,,,,9.5,3,3,3,4,3,3.5,4.5,3.5,3,3.5,3.2,,Scott
El Indio,California,3/17/16,San Diego,3695 India St,http://elindiosandiego.com/,3.5,3.9,,7.84,4,4,4,3.5,4,4.5,4,3.5,3.5,4.5,4,,Scott
Taco stand,Carne asada,3/18/16,San Diego,3695 India St,http://elindiosandiego.com/,,,,7.89,1,3,3.5,4.5,4,5,5,4.5,3.5,5,4.2,,Scott
Taco stand,Al pastor,3/18/16,San Diego,3695 India St,http://elindiosandiego.com/,,,,6.99,4,4,3,3.5,3,4,5,3,3.5,5,3.5,,Emily
"Qdoba Mexican Grill, Seatac Airport",Custom,3/19/16,Seattle,Airport,http://elindiosandiego.com/,,,,9.5,5,3,3,3.5,3,4,1,3,2.5,5,3,,Sage
Cancun Mexican & Seafood,California,3/20/16,Encinitas,1766 N Coast Hwy,http://cancunmexicanandseafood.com/,4.5,4.1,x,6.99,4,4,4.5,4,3.5,4,2.5,2,4,4,4.2,,Scott
Cancun Mexican & Seafood,Machaca,3/20/16,Encinitas,1766 N Coast Hwy,http://cancunmexicanandseafood.com/,,,,5.99,3,4,3.5,3.5,4,3.5,3.5,2,3.5,0.5,3.9,,Emily
Vallarta express,Quesaburro,3/21/16,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4,,6.95,3.5,3,4,3.5,4,4,4,3.5,4.5,4.5,4.1,,Scott
Vallarta express,Philly ,3/21/16,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,,,,6.95,4,3,4.5,4,3,3,2,4,2,4.5,3,,Torben
Vallarta express,Carne asada,3/21/16,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,,,,6.5,3.5,3.75,5,3,3,4.5,4.5,3.5,3,4.5,3.25,,Ricardo
Vallarta express,Quesa,3/21/16,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,,,,6.95,4.5,2,5,3.5,4,2.5,5,3.5,2.5,4,3.75,,Alex
Vallarta express,Surf and turf,3/21/16,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,,,,7.65,3,2,4,3,3,4,2,4,2,3,3.5,,Richard
Vallarta express,Mahi,3/21/16,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,,,,7.3,3,3,4.5,3.5,3,3,2,3.5,2.5,4.5,3.5,,Tom
Mikes Taco Club,California,3/23/16,Ocean Beach,5060 Newport Ave,http://www.mikestacoclub.com/menu/,4.5,4.9,,8.59,2.5,4,4.5,3.5,5,2.5,2,4,4.5,4,4.3,,Scott
Mikes Taco Club,California,3/23/16,Ocean Beach,5060 Newport Ave,http://www.mikestacoclub.com/menu/,,,,8.59,3.5,4.5,4.5,4,4.5,4,4,4,4.5,5,4.5,,Brad
La Perla Cocina,Addiction,3/30/16,Pacific Beach,745 Emerald St,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,,7.99,3.5,4,4,2,3,1.5,3,2.5,1,3,2.5,,Scott
La Perla Cocina,Oaxacalifornia,3/30/16,Pacific Beach,745 Emerald St,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,,,,9.99,3,4,4.5,3.5,4,3,2,2.5,3.5,4,4,,Emily
Porkyland ,Deborah's special,4/2/16,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4,4.4,x,8.25,3.5,4,4.5,3.5,2.5,4.5,4.5,4,3.5,5,4,,Scott
Porkyland ,Chicken nopalito,4/2/16,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,,,,7.95,2.5,2.5,2.5,4,3.5,3,2.5,3,3,5,3.3,,Emily
Porkyland ,Chicken nopalito,4/2/16,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,,,,7.95,2,4,5,4,4,3,5,3,3,5,4,,Tara
Porkyland ,California,4/2/16,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,,,,8.75,3,4,5,3,5,3,2,4,3,5,4,,Andy
Rigoberto's Taco Shop,California ,4/3/16,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,,,,6.6,3,3,4.5,4,4.5,4,4.5,4.5,5,4.5,4.5,,Scott
Rigoberto's Taco Shop,Adobada,4/3/16,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,,,,6.6,3,4,5,5,5,5,4,,4.5,5,4.5,,Tara
Rigoberto's Taco Shop,California,4/7/16,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,,,,6.6,3,3,5,3.5,3,4.5,2.5,3,4,4,3.6,,Scott
Rigoberto's Taco Shop,Surf & Turf,4/7/16,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,,,,7.45,3.5,3,5,3.5,2.5,3,2.5,3.75,3,4,3,,Bankole
Rudy's Taco Shop,Chicken,4/9/16,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,4,4.3,,6.6,3.5,3.5,3,4,4.5,3,1,3,4,0.5,2.8,No,Scott
Rudy's Taco Shop,Carnitas,4/9/16,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,,,,6.6,3,3,2.5,3,4,2,1,3,3,5,3,No,Emily
Taco stand,Carne asada,4/14/16,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,,,,7.89,3.5,3,2,4.5,4,4,1.5,4.5,4.5,4.5,4.4,Yes,Scott
Taco stand,Carne asada,4/14/16,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,,,,7.89,2,3,2.5,4.5,3.5,4.5,3,4,3.5,5,3.5,Yes,Richard
California Burritos,California Everything,4/15/16,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,x,6.25,4,4.5,4.5,2.5,3.5,3.5,3.5,3,4,5,4.1,Yes,Scott
California Burritos,California Everything,4/15/16,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,,,,6.25,3.5,4,4,4,2.5,3,3.5,4,4,5,4,No,Brent
California Burritos,California Everything,4/15/16,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,,,,6.25,4,4,4.5,4.5,5,5,5,4.5,5,5,4.6,Yes,Luis
California Burritos,Chile relleno and carnitas,4/15/16,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,,,,6.5,5,4.5,5,5,5,5,4,4,5,5,4.7,Yes,Karl
California Burritos,California (only cheese),4/15/16,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,,,,6.25,2,5,5,5,4,4,2,,5,5,5,Yes,Kalen
Vallarta express,Fish,4/15/16,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,,,,6.5,2.5,3,,3.5,4,4,3,,4,1.5,3.5,,Erin
Vallarta express,California,4/15/16,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,,,,6.65,3.5,3.5,,3.5,3.5,4.5,3.5,3.5,4,4,4,,Ricardo
Jorge's Mexicatessen,California ,4/24/16,Encinitas ,267 N El Camino Real,https://www.yelp.com/biz/jorges-mexicatessen-encinitas,4,4.5,,5.95,3.5,2.5,2.5,3.5,4,3,4.5,4,4.5,4.5,3.8,Yes,Scott
Jorge's Mexicatessen,Chimichanga beef,4/24/16,Encinitas ,267 N El Camino Real,https://www.yelp.com/biz/jorges-mexicatessen-encinitas,,,,5.5,3,2,4,3,3,3,4,3.5,3.5,,3,No,Emily
Senor Grubby's,California,4/24/16,Carlsbad,377 Carlsbad Village Dr,eatgrubbys.com,4,4.1,,9,2,2,3.5,3,1.5,1,1,2.5,1.5,3.5,1.5,No,Scott
Senor Grubby's,Pastor,4/24/16,Carlsbad,377 Carlsbad Village Dr,eatgrubbys.com,,,,9,2,2.5,2.5,1.5,2.5,1,2,2.5,2,5,1.8,No,Emily
Taco stand,California,4/25/16,Carlsbad,377 Carlsbad Village Dr,eatgrubbys.com,,,,8,4,4.5,5,5,5,4.5,5,3,5,5,4.9,Yes,Sage
Mi Asador Mexican & Seafood ,California ,4/27/16,Oceanside,4750 Oceanside Blvd,https://sites.google.com/site/miasador/,4.5,4.4,x,6.89,3,3,2.5,3,2.5,2.5,2,3.5,3,4,3,No,Scott
Mi Asador Mexican & Seafood ,El Hawaiiano ,4/27/16,Oceanside,4750 Oceanside Blvd,https://sites.google.com/site/miasador/,,,,6.39,3,4,3,2.5,3.5,3,3,3.5,4,3.5,3.5,Yes,Emily
Sotos Mexican Food,California,5/4/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,4.5,4.6,x,6.75,3,4.5,4,3,4,1,3,4.5,3.5,4.5,3.5,Yes,Scott
Sotos Mexican Food,Pastor,5/4/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,5.99,2,4,2,2.5,4,4,3,3.5,4,5,3.2,No,Emily
Taco stand,California,5/6/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,7.49,3.5,3.5,4,4,4,3.5,3,4,4.5,3,4.2,Yes,Scott
Taco stand,California,5/6/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,7.49,4,4,3.5,4,4,4.5,5,4.5,5,4.5,4.5,Yes,Ricardo
Taco stand,California,5/6/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,7.49,4,3,3,4,3.5,3.5,4,3.5,4,2.5,3.7,Yes,Luis
